Beat 1, Beat 2, Correlation
1135, 1634, 0.9999430155635232
0421, 0324, 0.9998206664620823
0312, 0733, 0.9998041657524842
0213, 1915, 0.9997435296311161
1911, 2011, 0.9996528023503404
1135, 0513, 0.9995912679446148
1732, 1421, 0.9995857701439775
0513, 1634, 0.9995690097221396
0524, 2233, 0.9995632980292494
0731, 1422, 0.9995533078031398
0215, 2033, 0.9995275239556174
1932, 0113, 0.9995131808090639
1235, 2213, 0.9994984890144817
0133, 2213, 0.9994710533392417
1433, 0224, 0.9994636379850804
2011, 0324, 0.9994467160447348
0232, 1925, 0.9994346152944954
1933, 0631, 0.9994239121613515
0814, 2515, 0.9994172099011057
0725, 0734, 0.9994095310436046
0731, 0234, 0.9994085216498401
1011, 2233, 0.9993896403448185
1011, 0221, 0.9993880566328242
0412, 0614, 0.9993630060914109
1924, 1225, 0.9993432664274955
1032, 1023, 0.9993355477493654
1911, 0324, 0.9992862222258229
1125, 1634, 0.9992468271083308
1135, 1125, 0.9992299457842432
0423, 2515, 0.9992265588616521
1911, 0421, 0.9992184953596852
0414, 0733, 0.9991859246704845
0313, 1532, 0.9991629455509102
0414, 0715, 0.9991225534864506
1423, 0322, 0.9991143198038277
0632, 1121, 0.9990988125282045
1512, 0624, 0.9990758089086654
1622, 0123, 0.9990746271719575
0231, 2222, 0.9990511444537549
0222, 1655, 0.9990267266682848
0212, 1231, 0.9990069544639101
0314, 0113, 0.9990000768436755
1032, 2412, 0.9989815882009345
0414, 0312, 0.9989677683276619
0613, 0431, 0.9989671217139169
1212, 0822, 0.9989555584859456
1223, 0725, 0.9989467238472736
2011, 0421, 0.9989388475785985
1922, 0812, 0.9989271598116855
0221, 2233, 0.9989153114746679
1931, 2515, 0.9989089174640712
0724, 0431, 0.9988978594762055
0835, 1125, 0.9988967036911189
0621, 2515, 0.9988822173449474
0613, 1511, 0.9988822015056873
0234, 1422, 0.9988766314411113
0633, 1933, 0.9988674176228086
1651, 0734, 0.9988651657457126
0523, 0823, 0.998838947080219
1923, 2412, 0.9988192155686838
0724, 0334, 0.9988121749787513
2512, 1724, 0.9988041402796729
0723, 1125, 0.9987557765275569
1833, 0221, 0.9987450224285647
1651, 0725, 0.9987153321299083
1633, 1624, 0.9987085575931749
0413, 0524, 0.998705772679421
1235, 0133, 0.9986952848032024
1651, 0925, 0.9986934322619878
0832, 0334, 0.9986751958628766
0711, 2232, 0.9986342508150381
2533, 0732, 0.9986303514740038
0813, 0924, 0.998619803933767
0831, 0821, 0.9986063040363866
1135, 0723, 0.9985771558142221
1013, 0424, 0.9985623791860619
0634, 1214, 0.9985533918754662
2522, 1823, 0.9985378975954847
0735, 0224, 0.9985278166935122
0734, 1214, 0.9984988437709563
1931, 0814, 0.9984982036670889
0331, 1132, 0.9984944673398214
0314, 1932, 0.998459944331194
0921, 0933, 0.9984589844160722
1223, 0925, 0.9984483006887598
1733, 0411, 0.998447581266983
1923, 1533, 0.9984466043285133
1923, 1932, 0.9984454375612145
2533, 0532, 0.99844524700045
2211, 1912, 0.9984319603890848
1023, 2412, 0.9984270793346927
0633, 0631, 0.9983764590272182
0823, 0733, 0.9983664224943333
1211, 1022, 0.9983636986946827
0312, 0823, 0.9983439686817536
0331, 0121, 0.998317014877408
0732, 0224, 0.998286985187624
0723, 1915, 0.998277593375594
1123, 0935, 0.9982733815099959
0725, 0925, 0.9982633561408429
1235, 2233, 0.9982448507521555
1931, 0423, 0.9982298918357115
1222, 1024, 0.9982222764912982
1421, 2234, 0.9982211019356465
0813, 2234, 0.9982070719341966
0715, 0733, 0.9981836039302677
0914, 0732, 0.9981769944919928
0825, 2221, 0.9981668187702389
0331, 0623, 0.9981607780283536
0423, 0411, 0.9981606765998916
1235, 0524, 0.9981475346241481
0224, 0532, 0.9981388984318192
0632, 0511, 0.99811942629586
1012, 1233, 0.9981183802091514
0814, 2232, 0.9980865747943776
0723, 1634, 0.9980661448875131
1413, 0131, 0.9980609063281148
1131, 1222, 0.9980558473931253
0723, 0213, 0.998053037702195
0414, 0823, 0.9980439136458646
1011, 0524, 0.9980128074673899
0724, 0715, 0.9980057598349135
0811, 2431, 0.9980025670834392
1922, 0522, 0.9979828290025429
2422, 2211, 0.9979743393620442
1512, 1511, 0.9979721687130955
1011, 1235, 0.9979655285311515
0232, 2023, 0.9979458503696936
0723, 0835, 0.9979429441791139
0715, 2212, 0.9979147564053877
0735, 1433, 0.9978931175719985
1122, 2531, 0.9978818418223993
0312, 0715, 0.9978704683060517
0612, 1925, 0.9978541784102355
0334, 1614, 0.9978518280240676
0524, 0323, 0.9978451410060764
1933, 0533, 0.9978363906100278
0414, 2212, 0.9977944148341317
1811, 0714, 0.9977920993411507
0423, 0814, 0.9977907709244842
0323, 0221, 0.9977822439974863
1533, 2412, 0.9977695827087878
0513, 1125, 0.99775890346791
0323, 2233, 0.9977439470698167
0621, 0814, 0.9977372275724967
0522, 0812, 0.9977355632263958
0832, 1614, 0.9977190075359562
0735, 0532, 0.9977077928128221
1934, 0633, 0.9976968511666541
2533, 0224, 0.9976852108611648
1412, 1824, 0.9976751470613984
1651, 1223, 0.9976554590924324
0531, 0434, 0.9976463202707325
0213, 0812, 0.9976105771639086
0621, 0423, 0.9976081665594159
